release ver.,Mnewman,Mbunch,Mg&g,Mrcc,CCQM,CRQM,ACQM,ADQM,BCF,IC ,AC,MDI,NCI,APIUP,QDI,HMI,TNOC,TLOC,PPI,SAVI,CUM(mtd),CUM(size)
v-1.5.2,0.43643746,0.66332954,0.25323156,0.999171,0.216520651,0.772215269,0.809762203,0.603254068,0.934508946,0.60961624,0.799016571,0.039860561,0.786284388,8.06E-05,12.4,154.4,199,10447,0.148746224,0.127946208,0.60845098,0.65547897
v-1.5.4,0.432655442,0.678238927,0.240796507,0.999217943,0.216520651,0.772215269,0.808510638,0.602002503,0.934517789,0.60961624,0.800205573,0.039794029,0.786284388,8.06E-05,12.5,154.5,200,10469,0.148746224,0.127946208,0.608337542,0.655445835
v-1.6.0,0.436529283,0.685271114,0.270181255,0.999396644,0.213283442,0.777362021,0.818521983,0.610851263,0.958157256,0.572558945,0.813711168,0.044494871,0.775351916,6.85E-05,13.4,155,285,16306,0.174637669,0.132786519,0.607249255,0.63243725
v-1.6.1,0.439338266,0.689672472,0.281547891,0.999310836,0.214018692,0.776635514,0.818691589,0.609345794,0.958155576,0.572268862,0.810991478,0.044482609,0.775351916,6.85E-05,17.2,153.76,295,16641,0.174637669,0.132667768,0.607909625,0.632714638
v-1.6.2,0.439638405,0.69928171,0.291355063,0.999383814,0.212648946,0.778185151,0.820348304,0.6131989,0.958172451,0.57233272,0.811806241,0.040302349,0.775351916,6.85E-05,17.9,153.46,299,17760,0.174584106,0.132666934,0.608564533,0.631095679
v-1.6.3,0.436256263,0.667841848,0.273699807,0.999399248,0.212648946,0.778185151,0.820348304,0.6131989,0.958172451,0.57233272,0.811806241,0.040302349,0.775351916,6.85E-05,17.7,153.47,299,17762,0.174584106,0.132666934,0.608564533,0.631095679
v-1.6.4,0.435905024,0.694450055,0.263935018,0.999350181,0.21875,0.772569444,0.815104167,0.612847222,0.959838404,0.579422203,0.825130368,0.030927589,0.763532469,6.58E-05,17.8,153.98,305,18409,0.200274082,0.128800512,0.618357509,0.638862422
v-1.6.5,0.435253511,0.670719484,0.285206131,0.999349211,0.21875,0.772569444,0.815104167,0.612847222,0.959838404,0.579422203,0.825119547,0.030928892,0.763532469,6.58E-05,17.8,153.99,305,18419,0.200274082,0.128800512,0.618365946,0.638860328
v-1.7.0,0.43623023,0.762298545,0.404966914,0.999520931,0.211663067,0.780417567,0.819294456,0.620590353,0.954524412,0.561038128,0.813615337,0.029590995,0.707924679,6.25E-05,17.3,156.23,389,22053,0.196258928,0.107138011,0.599882513,0.64077524
v-1.7.1,0.436165162,0.763077625,0.41827739,0.999452112,0.212553495,0.780313837,0.819543509,0.619828816,0.95452733,0.558644461,0.813911568,0.029552715,0.731466346,6.25E-05,14.2,156.38,390,22148,0.188620039,0.103271672,0.598843028,0.63932217
v-1.8.0,0.433505064,0.773067514,0.40783466,0.999536736,0.206157965,0.784471218,0.822623829,0.614457831,0.95397269,0.55951469,0.783741023,0.01836316,0.749658815,6.33E-05,14.5,155.83,410,23704,0.195389329,0.098335508,0.595996055,0.626256618
v-1.8.1,0.434638743,0.749026087,0.38403857,0.999438084,0.206254158,0.784431138,0.823020625,0.614770459,0.954005364,0.559968683,0.782879894,0.018321108,0.747549111,6.33E-05,14.7,155.79,412,23652,0.19623321,0.099003049,0.595532596,0.625685096
v-1.8.2,0.437792517,0.759774627,0.420460251,0.999506485,0.206987475,0.786420567,0.824653922,0.61568886,0.954015172,0.562254391,0.782615339,0.018314137,0.745439406,6.33E-05,15.1,155.73,427,24181,0.194123506,0.098550357,0.596347069,0.626937427
v-1.8.3,0.438201495,0.747587258,0.388858137,0.999478204,0.206535948,0.786928105,0.825490196,0.615686275,0.954044218,0.561222363,0.784464358,0.018305037,0.755987929,6.33E-05,14.9,155.71,438,24473,0.189060215,0.098340822,0.596503066,0.627011317
